number	data
397	82.7
398	67.6
399	65.1
400	70.5
401	68.8
402	68.3
403	68.8
404	70
405	76.6
406	78.6
407	74.6
408	65.3
409	64.2
410	65.8
411	59.5
412	58.3
413	69.3
414	81.9
415	78.7
416	78.2
417	81.1
418	81.7
419	79.3
420	82.9
421	81.2
422	77.4
423	75.9
424	79.9
425	79.8
426	84.5
427	105
428	93.1
429	102
430	111
431	106
432	91.3
433	91
434	90.5
435	80.3
436	94.1
437	96.8
438	102
439	100
440	97.3
441	94.7
442	87.2
443	76
444	76.8
445	92.9
446	102
447	72.2
448	74.5
449	73.8
450	72.9
451	83.1
452	116
453	121
454	109
455	102
456	115
457	120
458	88
459	85.8
460	85.9
461	81.8
462	74
463	83.5
464	116
465	120
466	114
467	117
468	126
469	258
470	104
471	110
472	117
473	122
474	119
475	120
476	121
477	112
478	104
479	102
480	77.7
481	72.3
482	71.8
483	76.9
484	71.5
485	75.3
486	76.6
487	85.7
488	83.1
489	85.1
490	85.4
491	94.1
492	95.9
493	112
494	109
495	111
496	106
497	107
498	112
499	120
500	108
501	98.4
502	192
503	188
504	174
505	186
506	186
507	230
508	203
509	176
510	137
511	103
512	142
513	131
514	125
515	129
516	138
517	132
518	125
519	80.9
520	85.5
521	85.7
522	74
523	100
524	128
525	140
526	144
527	143
528	138
529	184
530	195
531	192
532	180
533	185
534	183
535	169
536	158
537	142
538	143
539	150
540	160
541	148
542	140
543	160
544	160
545	159
546	147
547	118
548	119
549	117
550	110
551	102
552	111
553	106
554	110
555	112
556	123
557	122
558	127
559	113
560	94.1
561	99.7
562	51.9
563	56.8
564	63.9
565	63
566	55.6
567	57.7
568	58.5
569	64.5
570	89.5
571	88.1
572	92.1
573	85.7
574	105
575	61.2
576	45.8
577	45.7
578	46.4
579	45.4
580	46.4
581	51.8
582	2200
583	678
584	279
585	218
586	160
587	146
588	96.9
589	70.4
590	89.8
591	91.4
592	69.3
593	74.1
594	67.8
595	73.8
596	141
597	125
598	1270
599	983
600	457
601	263
602	137
603	132
604	123
605	116
606	89.7
607	99.6
608	123
609	127
610	128
611	129
612	136
613	122
614	118
615	116
616	119
617	120
618	109
619	109
620	99.2
621	106
622	107
623	123
624	131
625	114
626	103
627	95.6
628	110
629	616
630	156
631	94.3
632	106
633	107
634	98
635	86.3
636	87.3
637	89.3
638	92.1
639	108
640	111
641	90.4
642	82.6
643	79.5
644	78.1
645	80.6
646	76.5
647	78.8
648	80.6
649	79.9
650	85.3
651	194
652	356
653	38.2
654	46.9
655	44.5
656	43.2
657	45.5
658	40.9
659	39.7
660	44.3
661	69.9
662	65.6
663	67.6
664	65.2
665	66.6
666	61.8
667	67.6
668	62.8
669	63.3
670	66.1
671	58.1
672	54
673	74.1
674	82.8
675	82.6
676	80.3
677	46.9
678	36.3
679	46.8
680	46.8
681	49.3
682	55.2
683	48.9
684	49.4
685	52.6
686	55.7
687	55.5
688	48.8
689	48.3
690	45.1
691	45.2
692	51
693	49.1
694	37.7
695	32.9
696	50.1
697	73.8
698	66.1
699	80.5
700	88.4
701	74
702	27.3
703	27.9
704	32.6
705	40.1
706	52.3
707	50
708	50
709	48.7
710	48
711	48.8
712	50.8
713	48.6
714	34.1
715	32.2
716	40.3
717	37.4
718	34.6
719	39.4
720	31.3
721	29.6
722	34.8
723	43.2
724	43.2
725	41.1
726	48
727	46.8
728	45.3
729	41.1
730	41.2
731	44.9
732	47.7
733	46.6
734	47.2
735	44.7
736	46.4
737	54.8
738	60.3
739	60.8
740	63
741	54.7
742	45.8
743	39
744	40
745	30.6
746	36.8
747	40.1
748	39.4
749	41.5
750	35.8
751	38.4
752	49.3
753	43.7
754	44.8
755	33.1
756	29.7
757	26.5
758	31
759	39
760	42.7
761	38.2
762	43.2
763	48.6
764	59
765	64.8
766	69.9
767	69.7
768	58.8
769	43
770	40.2
771	40.3
772	42.2
773	43.5
774	45.5
775	49
776	49.5
777	48.5
778	49.3
779	50.2
780	61.7
781	60.9
782	60.6
783	63.6
784	53.1
785	49.5
786	47.8
787	43.4
788	38.3
789	37
790	51.3
791	52.4
792	45.4
793	47.4
794	49.7
795	47
796	43
797	47.5
798	32.1
799	26.5
800	41.5
801	57.6
802	57
803	48.3
804	45.8
805	46.1
806	40.8
807	43
808	54.4
809	52.3
810	55.2
811	56.4
812	63.6
813	47.4
814	43.6
815	68.5
816	80.6
817	84.8
818	87.1
819	80.8
820	78.6
821	77.5
822	77.8
823	74.6
824	68.1
825	71
826	63.7
827	68.7
828	69.9
829	74.1
830	75.7
831	65.8
832	59.9
833	53
834	61.2
835	77.3
836	66.1
837	59.9
838	57.6
839	61
840	65.5
841	65.6
842	62
843	60.9
844	62.7
845	55.2
846	53.4
847	50.7
848	47.6
849	48.5
850	48.1
851	51.9
852	57.8
853	47.7
854	55.4
855	42.7
856	47.8
857	63.2
858	112
859	98.2
860	87.6
861	68.7
862	60.8
863	78.1
864	71.4
865	101
866	103
867	108
868	117
869	106
870	155
871	265
872	195
873	80.9
874	82.1
875	79
876	73.5
877	77.4
878	78.3
879	114
880	112
881	94.4
882	362
883	466
884	91.7
885	89.3
886	82.7
887	67.6
888	66.5
889	66.2
890	65.5
891	65.2
892	61
893	57.1
894	55.4
895	54.9
896	53
897	51.8
898	47.4
899	45.4
900	49.7
901	52.8
902	76.1
903	84.7
904	92.1
905	103
906	118
907	101
908	65.3
909	66.8
910	66.4
911	64.6
912	58.1
913	62
914	73.9
915	71.3
916	62.4
917	75.2
918	73.9
919	80
920	83.6
921	78.3
922	72.9
923	79.3
924	96.4
925	99.9
926	92.2
927	80.9
928	74.1
929	70.4
930	63.4
931	58.7
932	68.2
933	85.1
934	91.7
935	69.3
936	60.8
937	56.7
938	88.5
939	108
940	98.4
941	90.4
942	110
943	110
944	115
945	109
946	81.7
947	76.1
948	93
949	104
950	103
951	99.7
952	100
953	85
954	71.4
955	72.9
956	72.3
957	58.4
958	63.8
959	59
960	69.3
961	66.1
962	77.2
963	123
964	111
965	111
966	126
967	110
968	143
969	490
970	716
971	461
972	374
973	237
974	128
975	130
976	131
977	124
978	113
979	158
980	169
981	163
982	210
983	337
984	685
985	312
986	233
987	203
988	204
989	568
990	758
991	427
992	255
993	239
994	249
995	252
996	285
997	266
998	254
999	270
1000	272
1001	223
1002	198
1003	155
1004	149
1005	137
1006	123
1007	125
1008	79.8
1009	78.1
1010	90.3
1011	81.2
1012	79.9
1013	83.9
1014	87.7
1015	101
1016	96.3
1017	104
1018	107
1019	97.7
1020	99.2
1021	109
1022	118
1023	107
1024	81.7
1025	84.5
1026	79.1
1027	76.9
1028	61.4
1029	51.8
1030	58.9
1031	66.3
1032	64.8
1033	67.5
1034	54.5
1035	52.5
1036	63.5
1037	67.2
1038	69.3
1039	55.4
1040	50.7
1041	52.4
1042	45.9
1043	46.8
1044	77.2
1045	84.3
1046	85.9
1047	79.7
1048	68.8
1049	65.5
1050	61.3
1051	59
1052	55
1053	45.9
1054	45.1
1055	40.1
1056	44.4
1057	61
1058	45.1
1059	35.3
1060	57.3
1061	58.8
1062	71.9
1063	67.1
1064	68
1065	58.2
1066	56.2
1067	57.1
1068	64.3
1069	61.7
1070	51
1071	44.9
1072	44.2
1073	55.5
1074	64.3
1075	68.8
1076	63.3
1077	55
1078	45.8
1079	53.4
1080	51.9
1081	49.9
1082	46.2
1083	48.6
1084	51.2
1085	58.3
1086	56.1
1087	57.3
1088	52.8
1089	56
1090	45.2
1091	63.8
1092	56
1093	37.8
1094	42
1095	49.8
1096	45.2
1097	48.5
1098	53.4
1099	53.1
1100	46
1101	53.2
1102	61.4
1103	67.4
1104	66.1
1105	55.2
1106	48.5
1107	50.3
1108	62.6
1109	68.4
1110	65.5
1111	59.6
1112	53.2
1113	41.8
1114	45.6
1115	44.9
1116	41.5
1117	40.9
1118	45
1119	54.1
1120	49.6
1121	39.9
1122	37.5
1123	35.1
1124	38.5
1125	40.7
1126	43
1127	40.5
1128	33.4
1129	30.4
1130	36.2
1131	41.6
1132	39.5
1133	41.3
1134	39.7
1135	43.1
1136	39.9
1137	33.9
1138	31.7
1139	39.8
1140	37.9
1141	40.1
1142	42.5
1143	92.1
1144	117
1145	131
1146	113
1147	94.4
1148	75
1149	86.2
1150	91.5
1151	89.4
1152	75.6
1153	68.4
1154	84.7
1155	117
1156	72.6
1157	85.1
1158	89.3
1159	84.6
1160	88.6
1161	87.8
1162	84.2
1163	83.2
1164	84.2
1165	89.4
1166	79.7
1167	61.5
1168	62
1169	59
1170	59
1171	66.1
1172	68.2
1173	78
1174	76.7
1175	57.5
1176	48.6
1177	55.9
1178	69.1
1179	58.5
1180	56.9
1181	53.7
1182	62.7
1183	56
1184	155
1185	159
1186	159
1187	160
1188	79.8
1189	84.8
1190	87.4
1191	62
1192	60.9
1193	115
1194	114
1195	92.9
1196	99.9
1197	100
1198	79.5
1199	77.5
1200	81.3
1201	78.7
1202	77.1
1203	72.8
1204	73.8
1205	69.7
1206	102
1207	94.4
1208	87.8
1209	113
1210	315
1211	169
1212	138
1213	124
1214	107
1215	105
1216	110
1217	139
1218	147
1219	197
1220	104
1221	91
1222	265
1223	273
1224	281
1225	582
1226	366
1227	224
1228	267
1229	238
1230	177
1231	1100
1232	498
1233	254
1234	315
1235	272
1236	226
1237	195
1238	254
1239	254
1240	486
1241	442
1242	209
1243	227
1244	221
1245	190
1246	181
1247	177
1248	195
1249	196
1250	259
1251	228
1252	167
1253	191
1254	157
1255	178
1256	180
1257	175
1258	202
1259	211
1260	197
1261	196
1262	359
1263	496
1264	342
1265	304
1266	315
1267	365
1268	383
1269	587
1270	615
1271	342
1272	285
1273	279
1274	285
1275	261
1276	261
1277	269
1278	244
1279	222
1280	230
1281	220
1282	155
1283	177
1284	185
1285	158
1286	160
1287	190
1288	134
1289	143
1290	173
1291	152
1292	158
1293	136
1294	158
1295	109
1296	97.6
1297	105
1298	117
1299	107
1300	94.1
1301	91.5
1302	119
1303	113
1304	126
1305	126
1306	136
1307	134
1308	115
1309	126
1310	138
1311	125
1312	111
1313	90.3
1314	81.4
1315	84.6
1316	73.8
1317	100
1318	127
1319	102
1320	94.9
1321	658
1322	3520
1323	1110
1324	397
1325	327
1326	344
1327	353
1328	322
1329	352
1330	434
1331	402
1332	377
1333	362
1334	360
1335	332
1336	355
1337	343
1338	269
1339	272
1340	278
1341	1720
1342	910
1343	564
1344	342
1345	242
1346	247
1347	245
1348	249
1349	244
1350	217
1351	209
1352	191
1353	192
1354	194
1355	199
1356	160
1357	125
1358	133
1359	140
1360	142
1361	105
1362	149
1363	145
1364	146
1365	142
1366	140
1367	146
1368	106
1369	92.1
1370	83
1371	123
1372	1020
1373	856
1374	457
1375	334
1376	237
1377	233
1378	208
1379	186
1380	167
1381	166
1382	123
1383	101
1384	95.6
1385	84.9
1386	83.8
1387	66.7
1388	97.7
1389	66.9
1390	61.6
1391	83
1392	87.8
1393	113
1394	117
1395	115
1396	116
1397	117
1398	127
1399	129
1400	123
1401	94.6
1402	75.7
1403	85
1404	103
1405	99.9
1406	75.9
1407	66.1
1408	74.9
1409	82.2
1410	90.3
1411	88.9
1412	85.8
1413	85.4
1414	89.2
1415	85.3
1416	79.9
1417	72.7
1418	82.3
1419	88
1420	89.2
1421	64.1
1422	73.4
1423	77
1424	65.7
1425	64.8
1426	51
1427	39.7
1428	52.8
1429	53.8
1430	72.7
1431	66.4
1432	44.2
1433	74.3
1434	80.9
1435	60
1436	58
1437	62.9
1438	66.9
1439	64.2
1440	61.9
1441	79.8
1442	70.4
1443	105
1444	95.6
1445	78.9
1446	79.4
1447	85.6
1448	79.6
1449	60.8
1450	53.3
1451	55.2
1452	44.7
1453	56.3
1454	55.5
1455	54.8
1456	52.1
1457	44.5
1458	78.3
1459	68.3
1460	57.4
1461	50.5
1462	58.9
1463	52
1464	47.8
1465	52.2
1466	65.2
1467	68.2
1468	66.8
1469	63
1470	55.4
1471	56.1
1472	52.9
1473	62.7
1474	54.6
1475	60.1
1476	74.4
1477	65
1478	60.9
1479	67.4
1480	73.3
1481	80.3
1482	58.1
1483	63.9
1484	57.1
1485	49.6
1486	49.2
1487	47.9
1488	41.8
1489	43.9
1490	47.9
1491	50.6
1492	45.2
1493	42.5
1494	50
1495	49.5
1496	43.5
1497	41.7
1498	60.5
1499	40.8
1500	42.9
1501	57
1502	61.1
1503	57.2
1504	58.9
1505	46.4
1506	75.1
1507	80.6
1508	77.1
1509	74
1510	76.9
1511	89.5
1512	82
1513	75.9
1514	78
1515	78.6
1516	65.8
1517	62.6
1518	60.8
1519	84.8
1520	86.5
1521	69.4
1522	87.5
1523	101
1524	82.3
1525	64.5
1526	60.7
1527	87.7
1528	99.8
1529	89
1530	88.8
1531	86.3
1532	80.5
1533	75.1
1534	64.1
1535	58.3
1536	59.7
1537	55.9
1538	76.4
1539	65.3
1540	65
1541	60.9
1542	141
1543	294
1544	320
1545	210
1546	153
1547	226
1548	193
1549	155
1550	118
1551	100
1552	74.2
1553	97.8
1554	98.3
1555	97.5
1556	86.3
1557	88
1558	97
1559	81.3
1560	86.7
1561	167
1562	174
1563	150
1564	236
1565	298
1566	281
1567	230
1568	167
1569	120
1570	114
1571	114
1572	101
1573	101
1574	120
1575	164
1576	160
1577	174
1578	225
1579	396
1580	220
1581	195
1582	153
1583	182
1584	199
1585	156
1586	172
1587	128
1588	153
1589	185
1590	169
1591	133
1592	185
1593	161
1594	146
1595	140
1596	95.6
1597	104
1598	159
1599	2490
1600	575
1601	270
1602	194
1603	461
1604	794
1605	642
1606	466
1607	369
1608	395
1609	469
1610	455
1611	833
1612	994
1613	829
1614	904
1615	424
1616	354
1617	327
1618	425
1619	652
1620	1080
1621	1380
1622	540
1623	383
1624	361
1625	713
1626	606
1627	515
1628	488
1629	451
1630	471
1631	408
1632	419
1633	339
1634	264
1635	271
1636	283
1637	260
1638	223
1639	204
1640	239
1641	256
1642	208
1643	141
1644	141
1645	127
1646	118
1647	130
1648	121
1649	143
1650	160
1651	134
1652	185
1653	203
1654	204
1655	190
1656	257
1657	545
1658	3820
1659	4130
1660	1160
1661	622
1662	498
1663	343
1664	330
1665	308
1666	302
1667	808
1668	2220
1669	1320
1670	981
1671	779
1672	536
1673	418
1674	410
1675	386
1676	526
1677	602
1678	446
1679	417
1680	375
1681	278
1682	267
1683	391
1684	393
1685	281
1686	265
1687	288
1688	258
1689	260
1690	271
1691	241
1692	219
1693	175
1694	229
1695	262
1696	254
1697	330
1698	346
1699	260
1700	234
1701	209
1702	250
1703	254
1704	251
1705	223
1706	278
1707	300
1708	207
1709	202
1710	266
1711	254
1712	226
1713	194
1714	205
1715	193
1716	199
1717	206
1718	252
1719	191
1720	193
1721	172
1722	172
1723	163
1724	114
1725	133
1726	124
1727	91.9
1728	84.6
1729	91.6
1730	113
1731	108
1732	92.2
1733	102
1734	88.5
1735	84.5
1736	83.4
1737	108
1738	103
1739	103
1740	68.3
1741	61
1742	74.6
1743	84.4
1744	86
1745	85.6
1746	100
1747	68.1
1748	55.6
1749	57.6
1750	66.9
1751	67.1
1752	62.7
1753	57.2
1754	46.4
1755	54.6
1756	61.4
1757	62.7
1758	56.5
1759	59.5
1760	75
1761	64.5
1762	61.6
1763	65.7
1764	70.4
1765	71.1
1766	76.8
1767	72.2
1768	65.8
1769	62.8
1770	71.2
1771	82.1
1772	73.6
1773	51.1
1774	40.2
1775	45.8
1776	45.4
1777	53.9
1778	57.8
1779	57.5
1780	47.4
1781	45.9
1782	41.5
1783	37.8
1784	44.4
1785	45.2
1786	50.5
1787	148
1788	100
1789	74.4
1790	62.2
1791	67.6
1792	90.7
1793	94.3
1794	99.7
1795	84.3
1796	63.2
1797	58.3
1798	65.2
1799	75.8
1800	60.5
1801	52.3
1802	89
1803	75.6
1804	64.8
1805	87.2
1806	78.2
1807	80.4
1808	101
1809	203
1810	221
1811	152
1812	104
1813	87.2
1814	80.1
1815	53.2
1816	65.6
1817	68.5
1818	64.2
1819	72.3
1820	74
1821	57.1
1822	64.5
1823	67.8
1824	60.4
1825	67.6
1826	72.9
1827	69.4
1828	84.3
1829	68.7
1830	70.1
1831	62.6
1832	80.3
1833	85.9
1834	79.2
1835	75.1
1836	69
1837	76.1
1838	53.6
1839	55.6
1840	71.3
1841	67.5
1842	68.7
1843	80.5
1844	74.2
1845	68.5
1846	67
1847	73.9
1848	66.1
1849	53.7
1850	55.5
1851	50.9
1852	60.3
1853	58.1
1854	68.2
1855	57.9
1856	57
1857	55.4
1858	50.6
1859	50
1860	48.3
1861	55.8
1862	54.6
1863	51.8
1864	51
1865	55.9
1866	58.5
1867	48.1
1868	45.8
1869	47.8
1870	52
1871	51.3
1872	45
1873	58.9
1874	56.3
1875	55.3
1876	62.3
1877	62.8
1878	60.6
1879	97
1880	109
1881	113
1882	95.5
1883	85.4
1884	74.8
1885	70.6
1886	82.3
1887	74.7
1888	76.3
1889	72.1
1890	91.9
1891	91.1
1892	106
1893	105
1894	94
1895	81.1
1896	85.4
1897	97.8
1898	95
1899	91.2
1900	110
1901	100
1902	91
1903	73.7
1904	51
1905	93
1906	98.7
1907	95.7
1908	98.9
1909	95.4
1910	87.4
1911	78.9
1912	67.4
1913	67.8
1914	85
1915	110
1916	117
1917	84.4
1918	135
1919	138
1920	135
1921	133
1922	111
1923	93.3
1924	93.3
1925	90.4
1926	105
1927	101
1928	74
1929	88.3
1930	71.1
1931	59.3
1932	121
1933	123
1934	131
1935	154
1936	150
1937	94.3
1938	207
1939	205
1940	220
1941	209
1942	162
1943	176
1944	183
1945	166
1946	187
1947	240
1948	249
1949	241
1950	217
1951	272
1952	154
1953	89.1
1954	67.8
1955	76.4
1956	81.6
1957	68.5
1958	77.4
1959	75.5
1960	74.4
1961	68
1962	86.3
1963	82.2
1964	67.3
1965	71.5
1966	72.7
1967	82.2
1968	88.8
1969	76.5
1970	75
1971	89
1972	144
1973	164
1974	183
1975	192
1976	184
1977	115
1978	125
1979	126
1980	148
1981	296
1982	446
1983	536
1984	788
1985	876
1986	737
1987	1040
1988	1080
1989	696
1990	505
1991	405
1992	396
1993	413
1994	438
1995	437
1996	428
1997	447
1998	242
1999	241
2000	239
2001	210
2002	168
2003	320
2004	318
2005	343
2006	307
2007	245
2008	205
2009	242
2010	272
2011	259
2012	184
2013	178
2014	170
2015	164
2016	145
2017	146
2018	171
2019	190
2020	191
2021	204
2022	181
2023	197
2024	192
2025	208
2026	194
2027	101
2028	88.3
2029	82.7
2030	69.9
2031	73.9
2032	74.1
2033	80.1
2034	86.3
2035	86
2036	85.4
2037	71.9
2038	71
2039	60.1
2040	80.2
2041	116
2042	142
2043	223
2044	162
2045	77.8
2046	70.9
2047	123
2048	542
2049	566
2050	528
2051	297
2052	943
2053	1850
2054	2080
2055	638
2056	540
2057	1670
2058	1360
2059	923
2060	1370
2061	815
2062	532
2063	433
2064	374
2065	395
2066	335
2067	229
2068	278
2069	309
2070	418
2071	460
2072	431
2073	385
2074	379
2075	388
2076	363
2077	249
2078	239
2079	235
2080	245
2081	236
2082	207
2083	171
2084	173
2085	162
2086	196
2087	153
2088	100
2089	114
2090	152
2091	128
2092	122
2093	113
2094	115
2095	140
2096	172
2097	176
2098	175
2099	77.9
2100	75.2
2101	58.3
2102	57.7
2103	62.1
2104	85.8
2105	104
2106	118
2107	104
2108	81.5
2109	69.8
2110	68.2
2111	67
2112	63.4
2113	72
2114	55.6
2115	67.2
2116	64.8
2117	65.7
2118	56.4
2119	51.7
2120	54
2121	49.5
2122	49.2
2123	52.6
2124	45.4
2125	51.1
2126	45.8
2127	45.1
2128	57.8
2129	69.2
2130	72.7
2131	68.7
2132	66.2
2133	62.9
2134	57.3
2135	58.6
2136	51.1
2137	53.9
2138	52.9
2139	58.7
2140	65.5
2141	63
2142	72
2143	62.2
2144	57.5
2145	56.5
2146	66.5
2147	75.8
2148	72.1
2149	65.9
2150	63.9
2151	59.8
2152	74
2153	81.7
2154	78.3
2155	80.8
2156	78.5
2157	85.5
2158	84.7
2159	60
2160	58.2
2161	51.2
2162	57.7
2163	59.8
2164	56
2165	56.3
2166	57.9
2167	65.5
2168	67.2
2169	49
2170	42.2
2171	45.3
2172	55.9
2173	58.5
2174	66.2
2175	59.2
2176	59.2
2177	60
2178	63.1
2179	65.9
2180	74
2181	73.8
2182	73.2
2183	76.4
2184	62.9
2185	55.5
2186	44.8
2187	47.1
2188	66
2189	62.7
2190	71.9
2191	62.3
